"Име, име на родител и презиме",Автошкола,Резултат
b56cfe1fdfc7cdf765f8d99980dce8412f794c1f43911fdecc3b58e97c033466,Сигурност ЛНБ,Положил
77ae27ef65ee44cc053e6168a8644e68cf154a61b21d018d6ec7ceb962dc889d,Кекец-О,Положил
e55bd13ead3430a88c70998da3547b977d4e52627586a90e213b29f4ffa087d2,Шкорпион Обука,Положил
caf01367f10b1e7e4fcd49ec46812f16ae90449f9fd18d95903a26767e3516c6,Елита дривинг,Не положил
e8372f40c3776547d7b5cc35d9456cc506c0f28d2d6bc1aac9af1cc640ffec06,Елита дривинг,Положил
8f3b68ef9a8c43f39ad50e9a33ef44f6e23fde25c7f9c17e85a47f1bf9159953,Мартин,Не положил
7ae1c9b501ad92fc68804a846a5e82cdc6cde2ba847fbe2e0c3ffff7013d84ad,Арт,Не положил
d9f006064e79be3ee763751ffbc576db06c24762e0a787f502adae432a850532,Беко Бс Дооел,Не положил
47d1bec5a25d3a46ab3a9c0a139c8bf724cba26774a8a170ba4c1e75d40ea849,Беко Бс Дооел,Не положил
5c8ec5516a4ac22083cf0ca730f33cb6038c289ac3d8c45e58e810a7df0ea912,Ива Обука,Положил
3b0d231c19e3393e050610f849529720712289adbe76263e43c256f1a4620a36,Зелен Сигнал,Положил
