"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
c725ff727b0eb25f4f854a5ae29b63e70066445fe75f79802678d7f352dc8962,АСХ Хирда,Положил,male,0.99
2098251f3cdcf86b961ece667645281ed4128fd344dca30baf54ca4e84cddcd3,Емилија,Положил,,0.0
42bd4e02a20f5b1a67453f7da17a89336b4191b78ac344e45aae1d9b9e7f8482,Зелен Сигнал,Положил,male,0.95
2d6e275c765682a06e357aec8945038e9d513e195c36b9305be0e95d6ecf53bb,АР-ДИ,Не положил,,0.0
1cd3de601f1d069e69602543430ccd5643700dd1698f4fbcecda88e5bc4b294b,Мартин,Положил,female,0.99
5f36f1d9de43e8afab49f3f4cf3bc555a743040397ef20a0835f7fccc1ca83e5,Банкина,Не положил,female,0.99
5a37fe5697fc3a5cc22a9528255a378b68219ca5886225b90bb23af921a191e1,Европски Возач ДООЕЛ Скопје,Не положил,female,0.99
a5d0db49086a120c02aa430db841faf705108e9c8a96bae0292dee05e912822a,АР-ДИ,Не положил,female,0.99
69d57dea95b2aadd66ca368c294e5dd9ba89d19ab109f8813c697c996a995651,Алфа 2018,Не положил,female,0.55
ed0a4bb2e434e810c7ce905cb7d901354652c6d4763e0f4d8a544783d249dbf8,Банкина,Не положил,female,0.96
30c665b4eec923521d90737ad8de93596c51ea573caec7d1fcf50dfdc0236d1c,Зелен Сигнал,Не положил,female,0.95
7c324240acec150b2155bba4941e9faf20caab8f18329e3d270b5f4552ba0e47,Зебра АБЦ Дооел,Положил,,0.0
3914984c4c43e20f465546df4a430e04332cb10c432e8c0d9c562415d65d5f82,Арт,Не положил,female,0.95
8461880333080167def8425bbe0c9cc3305e52a8ddcd21ed7e64bcb30ddaad22,АСХ Хирда,Положил,female,0.99
f1e267e141cc8921d1c6af6f450d43e73c491ff05abdbea06436505f90b759b5,АСХ Хирда,Не положил,female,0.95
e037731c0c52fe5765b0d2bf84bc6fc6a92ce1b14a72b678e3d1d82b7cab059f,Зелен Сигнал,Не положил,female,1.0
cc2253be8b530f66e3a44503308d4deab3ea885423e78eb37a246281e9985835,Деива Обука 2001,Не положил,female,0.98
d331c443aa424b68a1694da0675ac5f518997179669a7d192a05f0cbe21f80c9,Арт,Не положил,,0.0
e56984113f37de0dcaf5f11ae21dad3f0b506bd9ca37e7581e2f76ecfdb684df,Шкорпион,Не положил,female,0.99
ed72a4baa83d8540ad8d5432d55cac5a8b6d92f9bd2fbeb551d3c69f89fece3f,АВТОМАК Гоце,Не положил,female,0.99
c763d47e529b662dbeb1512f6b3d48d114c1214ccc6da635e0ae7fc87ca10acb,Деива Обука 2001,Не положил,male,1.0
83ea57b2e2060c9c5ca2a14f41f14e14a4b8f3ff530f1bb294262ac7b202a0bb,Сигурност ГТБ,Не положил,male,1.0
462aa4e380071c0b6f4db21a6b001ee3b4e6fc69b94e6d559d0a74b8d607ff7e,Алфа 2018,Не положил,male,1.0
7f7375bf8db416bc5cbf95ce7c150ee7e1e5f6b738a0f18571903e26cc69a98c,Арт,Положил,,0.0
312ca040430eaf181a53407301bac0fac02fcdead4bca8384b5bec7e300f4f52,Драјв Скул,Не положил,female,1.0
511a5866b62ef82d5502192236b4fd8cc11f8dfb24703af0f99b43c2345634f3,СМАРТ,Не положил,female,1.0
b906782a3d76f8cc810fc478da5cd61f4647d1da555eb4018c737e67b65e3adc,Шкорпион Едукација,Не положил,female,1.0
65db1d515cc1b4beae23c721268c3565fc998926bc3d45555858a8b6df644f44,Арт,Не положил,female,0.99
5a033e7ae0f995d336b6b9b7f82162caab2a0dfae16c8d21cd0913649e197e12,Зелен Сигнал,Положил,,0.0
8cf30895ceac449e3c4275cb7fe10dd443591e09335086bfa4eb8e66888ce999,Софи-Скул,Не положил,,0.0
09d1975bd089acb5fde590921a0c82333865f0c693bd1f8057fbcc78560ee3d1,Шкорпион,Не положил,,0.0
95736219f2ede5493a21e4e53968804d238ec3367b31d7301c057e48f6e2de4d,АСХ Хирда,Не положил,female,0.98
4532a240800b3cfa5aaec336f8cab6ca64fe984c66571eaff8cdf0ec7c6c52f2,Ива Обука,Не положил,,0.0
8fc352b57c2a26a20d31c3e47f59b90a1d9553b7465aeed247aaa7bfb59768a0,АСУЦ Боро Петрушевски,Не положил,male,0.99
61cd21fdfc56a7c240805dd23c71720ca12cc128e875612bb449a1a8ef483418,Ас-Коко,Положил,male,0.99
255fed3de0525723d6b7d01876d6a6bceda23995d761787a1ce42de2e6e4509a,Зелен Сигнал,Не положил,male,0.99
6de026f821d0ec35989a4daf9abc8a5b2bb27efff92227372dc564846f3d7681,Ел Хилал - Јуниор,Положил,male,0.97
f5958879870e47662ec6271f02f8b79969a6110f4a257a7b7186b4edb80ba587,Зебра АБЦ Дооел,Не положил,,0.0
3a01a3f3f6178fbfca3abab0c2751d8dbfaba79b3b5b1f4567dd99fa69adba56,АСХ Хирда,Не положил,female,0.98
9b9a7fdeebfafe6822e10e56ff3b0849dbbce3c62e151141ca68051e212db087,Ива Обука,Не положил,male,0.96
bb853443a6008a1ee9a5fb52e6f0117a586912c113d268f6809c3be15d816e34,Емилија,Положил,female,0.96
4f009ce19241e13392b333146858466f7764b35f3493b678ec1c07bed168ed4d,Тримоски,Не положил,female,1.0
