"Име, име на родител и презиме",Автошкола,Резултат
0fa58af390bb6482f1d7f195b12d46c2999d042ce70fddb209d9841a7564235c,СМАРТ,Положил
f364155c54fb48ebbadf207319c47bd5b83aeaaf5101dd961e42b0efdbe139b3,Деива Обука 2001,Положил
a784dcff6a139acf61c7500326a49ab64918bea207bd4c33d284d9088e1d24fe,Кекец-О,Положил
0e449e270c87ef63c645a3c0fa6ef7ff6ad21039fdc5f02c8d3cabf48e11cfcf,Елита дривинг,Положил
9301818ac5c27df952ac94b01e9b5a55a538f503776c0f9120b121787867f062,АР-ДИ,Положил
58001d73bb136dd8f4e008168d2e346d174ec18623f1423359723e68c3b5f5f1,Шкорпион Обука,Положил
31075d091f2d5d945adbba804d13729eba8d7e0befe8368443d5d76407b01b57,Арт,Положил
d712b97c4e3964ff05e07de2417316e96d68740eb6ed8f25a0d4cc5fbe3199ed,Зебра АБЦ Дооел,Положил
8be507f2ac14e256c31dfc3c408079451a0e586454e58c238e281c14550dabde,Беко Бс Дооел,Положил
2b3f2e41b1e9635a563c5be81bff56128026925565109d21a762e94a7f16867a,Зелен Сигнал,Не положил
7a03d265f90cbd354572ceded0dca90ef0f5c08973184e178fb3bd3225624e57,Ел Хилал - Јуниор,Не се појавил
0a41e08a2bb61e594b4c481dbe2fa02b2f770600842d694e9029c27b973f16d8,Зелен Сигнал,Не положил
722ddd144469455505a00ec726264ff3ae02b1567f25709afd58a4c3f6476343,Тримоски,Положил
a06b2bbebd09568842e4f9e260f9aec4ecc3a1422d8112d567118848277b7772,Ива Обука,Положил
cf7416be139f8084a36642b6037b0a6e31b46d2ef2933bdd8a6972700c432de7,Болана ком,Положил
8b07278b25de516a5553035ed1d4c4139f299d0e93bd4c586518534971cf89ab,АСХ Хирда,Положил
36ab3b9c9152d2e4e53eadb223537c88ff5705d51f9f45a98a33366b1a6a3107,Елита Јуниор,Положил
b40a24b0a8c0d9b7713ea1667a38ca20025c10f954c24b2b4202f6a7886acec2,АР-ДИ,Положил
8dd5c1c3f563bd19517605067bf23b1f1271fadf246397fd45801073ea8b8db9,Беко Бс Дооел,Не положил
4c3b7c402179870918dd1e9b6773ff50928bd9d61ef2649a307089adaf74ec3c,Беко Бс Дооел,Не положил
